Season,Position,Team,Points,Played,Won,Drawn,Lost,GF,GA,Diff
2003/2004,1,Bayer 04 Leverkusen,90,34,28,6,0,89,24,+65
2003/2004,2,VfB Stuttgart,73,34,23,4,7,78,39,+39
2003/2004,3,FC Bayern München,72,34,23,3,8,94,45,+49
2003/2004,4,RB Leipzig,65,34,19,8,7,77,39,+38
2003/2004,5,Borussia Dortmund,63,34,18,9,7,68,43,+25
2003/2004,6,Eintracht Frankfurt,47,34,11,14,9,51,50,+1
2003/2004,7,TSG Hoffenheim,46,34,13,7,14,66,66,0
2003/2004,8,1. FC Heidenheim 1846,42,34,10,12,12,50,55,-5
2003/2004,9,SV Werder Bremen,42,34,11,9,14,48,54,-6
2003/2004,10,Sport-Club Freiburg,42,34,11,9,14,45,58,-13
2003/2004,11,FC Augsburg,39,34,10,9,15,50,60,-10
2003/2004,12,VfL Wolfsburg,37,34,10,7,17,41,56,-15
2003/2004,13,1. FSV Mainz 05,35,34,7,14,13,39,51,-12
2003/2004,14,Borussia Mönchengladbach,34,34,7,13,14,56,67,-11
2003/2004,15,1. FC Union Berlin,33,34,9,6,19,33,58,-25
2003/2004,16,VfL Bochum 1848,33,34,7,12,15,42,74,-32
2003/2004,17,1. FC Köln,27,34,5,12,17,28,60,-32
2003/2004,18,SV Darmstadt 98,17,34,3,8,23,30,86,-56
2004/2005,1,Bayer 04 Leverkusen,90,34,28,6,0,89,24,+65
2004/2005,2,VfB Stuttgart,73,34,23,4,7,78,39,+39
2004/2005,3,FC Bayern München,72,34,23,3,8,94,45,+49
2004/2005,4,RB Leipzig,65,34,19,8,7,77,39,+38
2004/2005,5,Borussia Dortmund,63,34,18,9,7,68,43,+25
2004/2005,6,Eintracht Frankfurt,47,34,11,14,9,51,50,+1
2004/2005,7,TSG Hoffenheim,46,34,13,7,14,66,66,0
2004/2005,8,1. FC Heidenheim 1846,42,34,10,12,12,50,55,-5
2004/2005,9,SV Werder Bremen,42,34,11,9,14,48,54,-6
2004/2005,10,Sport-Club Freiburg,42,34,11,9,14,45,58,-13
2004/2005,11,FC Augsburg,39,34,10,9,15,50,60,-10
2004/2005,12,VfL Wolfsburg,37,34,10,7,17,41,56,-15
2004/2005,13,1. FSV Mainz 05,35,34,7,14,13,39,51,-12
2004/2005,14,Borussia Mönchengladbach,34,34,7,13,14,56,67,-11
2004/2005,15,1. FC Union Berlin,33,34,9,6,19,33,58,-25
2004/2005,16,VfL Bochum 1848,33,34,7,12,15,42,74,-32
2004/2005,17,1. FC Köln,27,34,5,12,17,28,60,-32
2004/2005,18,SV Darmstadt 98,17,34,3,8,23,30,86,-56
2005/2006,1,Bayer 04 Leverkusen,90,34,28,6,0,89,24,+65
2005/2006,2,VfB Stuttgart,73,34,23,4,7,78,39,+39
2005/2006,3,FC Bayern München,72,34,23,3,8,94,45,+49
2005/2006,4,RB Leipzig,65,34,19,8,7,77,39,+38
2005/2006,5,Borussia Dortmund,63,34,18,9,7,68,43,+25
2005/2006,6,Eintracht Frankfurt,47,34,11,14,9,51,50,+1
2005/2006,7,TSG Hoffenheim,46,34,13,7,14,66,66,0
