Season,Position,Team,Points,Played,Won,Drawn,Lost,GF,GA,Diff,Form
2003-2004,1,OLYMPIQUE LYONNAIS,79,38,24,7,7,64,26,+38,drawwinwinlosewin
2003-2004,2,PARIS SAINT-GERMAIN,76,38,22,10,6,50,28,+22,drawwinlosewinwin
2003-2004,3,AS MONACO,75,38,21,12,5,59,30,+29,winwindrawlosewin
2003-2004,4,AJ AUXERRE,65,38,19,8,11,60,34,+26,losedrawwinwindraw
2003-2004,5,FC SOCHAUX-MONTBÉLIARD,63,38,18,9,11,54,42,+12,winloselosewinlose
2003-2004,6,FC NANTES,60,38,17,9,12,47,35,+12,winwindrawlosewin
2003-2004,7,OLYMPIQUE DE MARSEILLE,57,38,17,6,15,51,45,+6,loselosedrawlosewin
2003-2004,8,RC LENS,53,38,15,8,15,34,48,-14,drawwinlosewinlose
2003-2004,9,STADE RENNAIS FC,52,38,14,10,14,56,44,+12,winlosedrawwinwin
2003-2004,10,LOSC LILLE,51,38,14,9,15,41,41,0,losewindrawwinlose
2003-2004,11,OGC NICE,50,38,11,17,10,42,39,+3,losedrawdrawwindraw
2003-2004,12,FC GIRONDINS DE BORDEAUX,50,38,13,11,14,40,43,-3,drawlosewinloselose
2003-2004,13,RC STRASBOURG ALSACE,43,38,10,13,15,43,50,-7,drawdrawdrawwindraw
2003-2004,14,FC METZ,42,38,11,9,18,34,42,-8,winlosedrawwinlose
2003-2004,15,AC AJACCIO,40,38,10,10,18,33,55,-22,drawdrawwinlosewin
2003-2004,16,TOULOUSE FC,39,38,9,12,17,31,44,-13,drawlosedrawwindraw
2003-2004,17,SC BASTIA,39,38,9,12,17,33,49,-16,losedrawloseloselose
2003-2004,18,EN AVANT GUINGAMP,38,38,10,8,20,36,58,-22,drawlosedrawloselose
2003-2004,19,LE MANS FC,38,38,9,11,18,35,57,-22,winwindrawlosewin
2003-2004,20,MONTPELLIER HÉRAULT SC,31,38,8,7,23,41,74,-33,losedrawdrawloselose
2004-2005,1,OLYMPIQUE LYONNAIS,79,38,22,13,3,56,22,+34,winwinwinwindraw
2004-2005,2,LOSC LILLE,67,38,18,13,7,52,29,+23,winwinwinlosewin
2004-2005,3,AS MONACO,63,38,15,18,5,52,35,+17,windrawwindrawdraw
2004-2005,4,STADE RENNAIS FC,55,38,15,10,13,49,42,+7,windrawlosewinlose
2004-2005,5,OLYMPIQUE DE MARSEILLE,55,38,15,10,13,47,42,+5,drawlosedrawlosedraw
2004-2005,6,AS SAINT-ÉTIENNE,53,38,12,17,9,47,34,+13,drawwinlosewindraw
2004-2005,7,RC LENS,52,38,13,13,12,45,39,+6,windrawwinlosewin
2004-2005,8,AJ AUXERRE,52,38,14,10,14,48,47,+1,losedrawdrawloselose
2004-2005,9,PARIS SAINT-GERMAIN,51,38,12,15,11,40,41,-1,winlosedrawlosewin
2004-2005,10,FC SOCHAUX-MONTBÉLIARD,50,38,13,11,14,42,41,+1,loselosedrawwinlose
2004-2005,11,RC STRASBOURG ALSACE,48,38,12,12,14,42,43,-1,losewinwinlosewin
2004-2005,12,OGC NICE,46,38,10,16,12,38,45,-7,losedrawwinwindraw
2004-2005,13,TOULOUSE FC,46,38,12,10,16,36,43,-7,loseloseloseloselose
2004-2005,14,AC AJACCIO,45,38,10,15,13,36,40,-4,drawloselosewinwin
2004-2005,15,FC GIRONDINS DE BORDEAUX,44,38,8,20,10,37,41,-4,drawdrawlosedrawdraw
2004-2005,16,FC METZ,44,38,10,14,14,33,45,-12,drawdrawlosewinlose
2004-2005,17,FC NANTES,43,38,10,13,15,33,38,-5,drawdrawloselosewin
2004-2005,18,STADE MALHERBE CAEN,42,38,10,12,16,36,60,-24,losewinwinwinlose
2004-2005,19,SC BASTIA,41,38,11,8,19,32,48,-16,winwinlosewinlose
2004-2005,20,F.C. ISTRES OUEST PROVENCE,32,38,6,14,18,25,51,-26,loselosewinlosewin
2005-2006,1,OLYMPIQUE LYONNAIS,84,38,25,9,4,73,31,+42,winwinwinlosewin
2005-2006,2,FC GIRONDINS DE BORDEAUX,69,38,18,15,5,43,25,+18,drawlosedrawwindraw
2005-2006,3,LOSC LILLE,62,38,16,14,8,56,31,+25,drawwinlosewindraw
2005-2006,4,RC LENS,60,38,14,18,6,48,34,+14,drawlosewindrawwin
2005-2006,5,OLYMPIQUE DE MARSEILLE,60,38,16,12,10,44,35,+9,losewinwindrawdraw
2005-2006,6,AJ AUXERRE,59,38,17,8,13,50,39,+11,drawloselosewinwin
2005-2006,7,STADE RENNAIS FC,59,38,18,5,15,48,49,-1,winlosedrawdrawdraw
2005-2006,8,OGC NICE,58,38,16,10,12,36,31,+5,losewinwinwinwin
2005-2006,9,PARIS SAINT-GERMAIN,52,38,13,13,12,44,38,+6,drawlosedrawloselose
2005-2006,10,AS MONACO,52,38,13,13,12,42,36,+6,windrawdrawdrawdraw
2005-2006,11,LE MANS FC,52,38,13,13,12,33,36,-3,drawdrawdrawdrawlose
2005-2006,12,AS NANCY LORRAINE,48,38,12,12,14,35,37,-2,drawlosewinlosedraw
2005-2006,13,AS SAINT-ÉTIENNE,47,38,11,14,13,29,39,-10,drawwinlosedrawlose
2005-2006,14,FC NANTES,45,38,11,12,15,37,41,-4,winwindrawloselose
2005-2006,15,FC SOCHAUX-MONTBÉLIARD,44,38,11,11,16,34,47,-13,losedrawwindrawwin
2005-2006,16,TOULOUSE FC,41,38,10,11,17,36,47,-11,losewinlosedrawlose
2005-2006,17,ESTAC TROYES,39,38,9,12,17,37,47,-10,winwinwindrawlose
2005-2006,18,AC AJACCIO,33,38,8,9,21,27,53,-26,winloselosewinwin
2005-2006,19,RC STRASBOURG ALSACE,29,38,5,14,19,33,56,-23,losedrawlosedrawlose
2005-2006,20,FC METZ,29,38,6,11,21,26,59,-33,loseloseloselosewin
2006-2007,1,OLYMPIQUE LYONNAIS,81,38,24,9,5,64,27,+37,windrawwinlosewin
2006-2007,2,OLYMPIQUE DE MARSEILLE,64,38,19,7,12,53,38,+15,winwinwinwinwin
2006-2007,3,TOULOUSE FC,58,38,17,7,14,44,43,+1,loseloselosedrawwin
2006-2007,4,STADE RENNAIS FC,57,38,14,15,9,38,30,+8,windrawdrawwindraw
2006-2007,5,RC LENS,57,38,15,12,11,47,41,+6,losewinlosedrawlose
2006-2007,6,FC GIRONDINS DE BORDEAUX,57,38,16,9,13,39,35,+4,windrawlosedrawlose
2006-2007,7,FC SOCHAUX-MONTBÉLIARD,57,38,15,12,11,46,48,-2,losewinwinlosewin
2006-2007,8,AJ AUXERRE,54,38,13,15,10,41,41,0,drawwinlosewinwin
2006-2007,9,AS MONACO,51,38,13,12,13,45,38,+7,drawloselosewinwin
2006-2007,10,LOSC LILLE,50,38,13,11,14,45,43,+2,loselosewinlosedraw
2006-2007,11,AS SAINT-ÉTIENNE,49,38,14,7,17,52,50,+2,drawwinloseloselose
2006-2007,12,LE MANS FC,49,38,11,16,11,45,46,-1,losedrawwindrawdraw
2006-2007,13,AS NANCY LORRAINE,49,38,13,10,15,37,44,-7,winwinlosewinlose
2006-2007,14,FC LORIENT,49,38,12,13,13,33,40,-7,drawlosewinloselose
2006-2007,15,PARIS SAINT-GERMAIN,48,38,12,12,14,42,42,0,windrawlosewinwin
2006-2007,16,OGC NICE,43,38,9,16,13,34,40,-6,drawlosewindrawdraw
2006-2007,17,VALENCIENNES FC,43,38,11,10,17,36,48,-12,drawlosewindrawlose
2006-2007,18,ESTAC TROYES,39,38,9,12,17,39,54,-15,winlosedrawlosewin
2006-2007,19,C.S. SEDAN ARDENNES,35,38,7,14,17,46,58,-12,losewinlosedrawlose
2006-2007,20,FC NANTES,34,38,7,13,18,29,49,-20,losedrawwindrawlose
2007-2008,1,OLYMPIQUE LYONNAIS,79,38,24,7,7,74,37,+37,windrawdrawwinwin
